request_id,category,user_request,expected_tool,expected_argument,raw_router_output,actual_tool,raw_argument,actual_argument,tool_result,tool_error,final_answer,tool_selection_correct,argument_correct,unnecessary_tool_call,task_completed
S3-001,knowledge,How many annual leave days do full-time employees receive?,search_company_knowledge,How many annual leave days do full-time employees receive?,NO_TOOL_CHECK=NO | TICKET_CHECK=No | CLAIM_CHECK=NO | CALCULATE_CHECK=NO | KNOWLEDGE_CHECK=NO,NO_TOOL,,,,,This request cannot be completed using the available Stage 3 tools.,0,0,0,0
S3-002,knowledge,What does the company policy say about remote work?,search_company_knowledge,What does the company policy say about remote work?,NO_TOOL_CHECK=NO | TICKET_CHECK=No | CLAIM_CHECK=NO | CALCULATE_CHECK=NO | KNOWLEDGE_CHECK=Yes,search_company_knowledge,What does the company policy say about remote work?,What does the company policy say about remote work?,"{""question"": ""What does the company policy say about remote work?"", ""answer"": ""Remote-working arrangements may be reviewed periodically."", ""sources"": [""remote_work_policy_v2.txt""], ""retrieval_mode"": ""standard"", ""conflict"": ""Current and Superseded documents were both retrieved.""}",,Remote-working arrangements may be reviewed periodically.,1,1,0,1
S3-003,knowledge,What is the company refund policy?,search_company_knowledge,What is the company refund policy?,NO_TOOL_CHECK=NO | TICKET_CHECK=No | CLAIM_CHECK=NO | CALCULATE_CHECK=NO | KNOWLEDGE_CHECK=NO,NO_TOOL,,,,,This request cannot be completed using the available Stage 3 tools.,0,0,0,0
S3-004,knowledge,What are the rules for employee travel expenses?,search_company_knowledge,What are the rules for employee travel expenses?,NO_TOOL_CHECK=NO | TICKET_CHECK=NO | CLAIM_CHECK=NO | CALCULATE_CHECK=NO | KNOWLEDGE_CHECK=Yes,search_company_knowledge,What are the rules for employee travel expenses?,What are the rules for employee travel expenses?,"{""question"": ""What are the rules for employee travel expenses?"", ""answer"": ""under the Employee Expense Policy"", ""sources"": [""business_travel_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,under the Employee Expense Policy,1,1,0,1
S3-005,knowledge,Tell me the company's escalation policy.,search_company_knowledge,Tell me the company's escalation policy.,NO_TOOL_CHECK=NO | TICKET_CHECK=NO | CLAIM_CHECK=NO | CALCULATE_CHECK=NO | KNOWLEDGE_CHECK=NO,NO_TOOL,,,,,This request cannot be completed using the available Stage 3 tools.,0,0,0,0
S3-006,knowledge,What does our policy say about sick leave?,search_company_knowledge,What does our policy say about sick leave?,NO_TOOL_CHECK=NO | TICKET_CHECK=NO | CLAIM_CHECK=NO | CALCULATE_CHECK=NO | KNOWLEDGE_CHECK=NO,NO_TOOL,,,,,This request cannot be completed using the available Stage 3 tools.,0,0,0,0
S3-007,knowledge,What is the process for requesting annual leave?,search_company_knowledge,What is the process for requesting annual leave?,NO_TOOL_CHECK=NO | TICKET_CHECK=NO | CLAIM_CHECK=NO | CALCULATE_CHECK=NO | KNOWLEDGE_CHECK=NO,NO_TOOL,,,,,This request cannot be completed using the available Stage 3 tools.,0,0,0,0
S3-008,knowledge,"According to company policy, how should customer refunds be handled?",search_company_knowledge,"According to company policy, how should customer refunds be handled?",NO_TOOL_CHECK=NO | TICKET_CHECK=No | CLAIM_CHECK=NO | CALCULATE_CHECK=NO | KNOWLEDGE_CHECK=Yes,search_company_knowledge,"According to company policy, how should customer refunds be handled?","According to company policy, how should customer refunds be handled?","{""question"": ""According to company policy, how should customer refunds be handled?"", ""answer"": ""Refund eligibility remains governed by this Customer Refund Policy."", ""sources"": [""customer_refund_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,Refund eligibility remains governed by this Customer Refund Policy.,1,1,0,1
S3-009,ticket,What is happening with ticket TKT-005?,get_ticket,TKT-005,NO_TOOL_CHECK=NO | TICKET_CHECK=Yes,get_ticket,TKT-005,TKT-005,"{""ticket_id"": ""TKT-005"", ""customer"": ""Silverline Health"", ""category"": ""Technical"", ""priority"": ""High"", ""status"": ""In Progress"", ""owner"": ""Amina Bello"", ""summary"": ""API integration returns authentication errors.""}",,TKT-005 is In Progress. Priority: High. Owner: Amina Bello. Summary: API integration returns authentication errors.,1,1,0,1
S3-010,ticket,Who owns ticket 10?,get_ticket,TKT-010,NO_TOOL_CHECK=NO | TICKET_CHECK=Who owns ticket 10 | CLAIM_CHECK=NO | CALCULATE_CHECK=No | KNOWLEDGE_CHECK=NO,NO_TOOL,,,,,This request cannot be completed using the available Stage 3 tools.,0,0,0,0
