row_index,chunk_id,document_name,title,department,section,version,effective_date,status,chunk_configuration,word_count,embedding_text
0,account_access_process_medium_001,account_access_process.txt,Employee System Access Process,Information Technology,Access Management,2.7,2026-02-01,Current,medium,51,"Title: Employee System Access Process
Section: Access Management
System access is granted according to job responsibilities and approved access requests. Managers must authorize access to business systems where approval is required. Information Technology creates, modifies and disables accounts based on approved requests. Access should be removed promptly when an employee leaves the company or no longer requires a system."
1,annual_leave_policy_medium_001,annual_leave_policy.txt,Annual Leave Policy,Human Resources,Leave,2.1,2026-01-01,Current,medium,240,"Title: Annual Leave Policy
Section: Leave
## Purpose The Annual Leave Policy explains how paid annual leave is earned, requested, approved and carried forward. It applies to full-time employees unless a different written employment agreement applies. ## Annual Leave Entitlement Full-time employees receive 25 days of paid annual leave during each calendar year. The annual leave year runs from January through December. Employees joining during the year may receive a proportional entitlement based on their employment start date. Annual leave is intended to provide employees with time away from work for rest and personal activities. Employees should plan their leave throughout the year rather than waiting until the final weeks of December. ## Requesting Annual Leave Employees should normally submit annual leave requests at least 10 working days before the requested start date. Requests must be submitted through the approved company leave system. The employee should include the requested start date, end date and any information needed by the manager to understand operational impact. Employees should not make non-refundable travel arrangements before receiving approval when the leave depends on manager authorization. Emergency circumstances may prevent an employee from providing 10 working days of notice. Managers may consider shorter notice where reasonable. ## Manager Approval Managers approve annual leave based on staffing levels, customer commitments, project deadlines and operational requirements. Submitting a leave request does not automatically mean that the leave has been approved. Managers should try to accommodate reasonable requests while ensuring that the team can"
2,annual_leave_policy_medium_002,annual_leave_policy.txt,Annual Leave Policy,Human Resources,Leave,2.1,2026-01-01,Current,medium,240,"Title: Annual Leave Policy
Section: Leave
levels, customer commitments, project deadlines and operational requirements. Submitting a leave request does not automatically mean that the leave has been approved. Managers should try to accommodate reasonable requests while ensuring that the team can continue to meet business obligations. Where several employees request the same period, managers may consider request timing, business impact and previous holiday arrangements. ## Carry Forward Employees may carry forward a maximum of five unused annual leave days into the next calendar year. Any unused entitlement above five days will normally expire unless Human Resources approves an exception. Carried-forward leave should normally be used during the first half of the following year. Employees are encouraged to monitor their remaining leave balance throughout the year. ## Sick Leave During Annual Leave If an employee becomes seriously ill during approved annual leave, the employee should notify their manager as soon as reasonably possible. Human Resources may require appropriate medical evidence before annual leave is converted to sick leave. Annual leave should not automatically be changed to sick leave without approval. ## Leaving the Company When employment ends, Human Resources will review the employee's outstanding annual leave balance. Depending on employment terms and applicable requirements, unused accrued leave may be paid or adjusted against the employee's final working period. Managers should coordinate planned leave during a notice period with Human Resources. ## Responsibilities Employees are responsible for submitting requests early, checking approval and monitoring their leave balance. Managers"
3,annual_leave_policy_medium_003,annual_leave_policy.txt,Annual Leave Policy,Human Resources,Leave,2.1,2026-01-01,Current,medium,57,"Title: Annual Leave Policy
Section: Leave
against the employee's final working period. Managers should coordinate planned leave during a notice period with Human Resources. ## Responsibilities Employees are responsible for submitting requests early, checking approval and monitoring their leave balance. Managers are responsible for reviewing requests fairly and maintaining sufficient team coverage. Human Resources maintains the official leave rules and resolves exceptional cases."
4,billing_cycle_policy_medium_001,billing_cycle_policy.txt,Customer Billing Cycle Policy,Finance,Billing,1.3,2026-04-01,Current,medium,44,"Title: Customer Billing Cycle Policy
Section: Billing
Monthly subscriptions are billed on the customer's recurring billing date. Annual subscriptions are billed once at the beginning of each annual subscription period. Failed payments may be retried automatically before an account is suspended. Billing frequency is separate from the published monthly subscription price."
5,business_travel_policy_medium_001,business_travel_policy.txt,Business Travel Policy,Finance,Travel,1.7,2026-01-01,Current,medium,41,"Title: Business Travel Policy
Section: Travel
Business travel should be booked using approved suppliers whenever possible. Employees should select reasonably priced transport and accommodation suitable for the business requirement. International travel requires manager approval before booking. Travel costs must later be submitted under the Employee Expense Policy."
6,corporate_card_policy_medium_001,corporate_card_policy.txt,Corporate Card Policy,Finance,Corporate Cards,1.3,2026-02-15,Current,medium,40,"Title: Corporate Card Policy
Section: Corporate Cards
Corporate cards may only be used for authorized business expenses. Personal purchases are prohibited. Cardholders must retain receipts and reconcile transactions by the monthly Finance deadline. Lost or stolen cards must be reported immediately to Finance and the card provider."
7,customer_onboarding_process_medium_001,customer_onboarding_process.txt,Customer Onboarding Process,Customer Success,Onboarding,2.5,2026-03-01,Current,medium,54,"Title: Customer Onboarding Process
Section: Onboarding
New customers receive a welcome email after their account has been activated. Customer Success schedules an onboarding session to review account configuration, user setup and key product features. Professional and Enterprise customers may receive additional implementation assistance depending on their agreement. The account owner confirms onboarding completion after agreed setup activities have been completed."
8,customer_refund_policy_medium_001,customer_refund_policy.txt,Customer Refund Policy,Customer Operations,Refunds,3.0,2026-01-15,Current,medium,240,"Title: Customer Refund Policy
Section: Refunds
## Purpose The Customer Refund Policy defines when customers may request refunds, what evidence is required and how approved refunds are processed. This policy should be used when deciding refund eligibility. Other documents may describe returns, payment processing or customer-service terminology, but those documents do not replace this policy. ## Standard Refund Period Customers may request a full refund within 30 calendar days of the original purchase date. The 30-day period begins on the date shown on the customer's valid purchase record. Requests submitted within this period are reviewed according to the eligibility requirements described in this policy. A request made after 30 calendar days is not automatically eligible for a refund. ## Proof of Purchase Customers must provide a valid order number or another acceptable form of proof of purchase. Customer Operations may use account records to verify a transaction when appropriate. If the company cannot confirm that the purchase occurred, the refund request may be delayed while additional evidence is requested. ## Eligible Refunds A refund may be approved when the request falls within the applicable period and the purchase satisfies the relevant product or service conditions. For physical products, the separate Product Returns Policy may also apply. Returning an item does not automatically guarantee refund approval. Refund eligibility remains governed by this Customer Refund Policy. ## Requests After 30 Days Refund requests received after the 30-day period are reviewed individually. Customer Operations may consider exceptional circumstances, but"
9,customer_refund_policy_medium_002,customer_refund_policy.txt,Customer Refund Policy,Customer Operations,Refunds,3.0,2026-01-15,Current,medium,240,"Title: Customer Refund Policy
Section: Refunds
automatically guarantee refund approval. Refund eligibility remains governed by this Customer Refund Policy. ## Requests After 30 Days Refund requests received after the 30-day period are reviewed individually. Customer Operations may consider exceptional circumstances, but customers should not be promised a refund simply because a late request was submitted. Where an exception requires approval, the request should be escalated to the appropriate manager. ## Processing Approved Refunds Approved refunds are returned to the original payment method whenever possible. Finance normally processes an approved refund within five to seven working days. The customer's bank or payment provider may take additional time to display the funds after the company has processed the transaction. Employees should distinguish between refund approval time and payment-processing time. ## Partial Refunds In some circumstances, a partial refund may be considered where only part of a service or order was affected. Partial refunds must follow approved commercial rules and should not be offered without appropriate authority. The reason for a partial refund should be recorded in the customer account. ## Duplicate Payments Where a customer appears to have been charged twice for the same transaction, Customer Operations should verify the payment records. Confirmed duplicate payments should be escalated for correction through the appropriate Finance process. A duplicate-payment correction may be handled differently from a normal discretionary refund request. ## Communication Employees should explain refund decisions clearly and avoid promising an outcome before eligibility has been confirmed. Customers should"
10,customer_refund_policy_medium_003,customer_refund_policy.txt,Customer Refund Policy,Customer Operations,Refunds,3.0,2026-01-15,Current,medium,95,"Title: Customer Refund Policy
Section: Refunds
Finance process. A duplicate-payment correction may be handled differently from a normal discretionary refund request. ## Communication Employees should explain refund decisions clearly and avoid promising an outcome before eligibility has been confirmed. Customers should be told whether their request has been approved, rejected or requires additional evidence. If approved, customers should also be advised that most refunds are processed within five to seven working days. ## Responsibilities Customer Operations determines eligibility using this policy. Finance processes approved payments. Employees must use the official policy rather than training examples or documents containing similar refund-related keywords."
