case_id,category,user_request,expected_mode,actual_mode,mode_correct,expected_tools,actual_tools,exact_tools_correct,required_tools_found,required_tools_total,has_unnecessary_tool,unnecessary_tools,expected_first_argument,actual_first_argument,first_argument_correct,expected_dependency,dependency_satisfied,dependency_correct,expected_stop_reason,actual_stop_reason,stop_correct,expected_outcome,actual_outcome,outcome_correct,expected_answer_contains,answer_check,expected_evidence_contains,actual_evidence,evidence_check,step_count,error_count,final_answer,overall_pass
GOLD-001,ticket_lookup,Check ticket TKT-001.,READ_AGENT,READ_AGENT,True,get_ticket,get_ticket,True,1,1,False,,TKT-001,TKT-001,True,,False,,READY,READY,True,,,,TKT-001,True,,,,1,0,Ticket TKT-001 is Open. Priority: High. Owner: Amina Bello. Summary: User cannot sign in after a password reset.,True
GOLD-002,ticket_lookup,What is the status of TKT-002?,READ_AGENT,READ_AGENT,True,get_ticket,get_ticket,True,1,1,False,,TKT-002,TKT-002,True,,False,,READY,READY,True,,,,TKT-002,True,,,,1,0,Ticket TKT-002 is In Progress. Priority: Medium. Owner: David Cole. Summary: Customer reports an incorrect invoice amount.,True
GOLD-003,ticket_lookup,Who owns ticket TKT-003?,READ_AGENT,READ_AGENT,True,get_ticket,get_ticket,True,1,1,False,,TKT-003,TKT-003,True,,False,,READY,READY,True,,,,TKT-003,True,,,,1,0,Ticket TKT-003 is Open. Priority: Critical. Owner: Sarah James. Summary: Production dashboard is unavailable.,True
GOLD-004,ticket_lookup,Show me TKT-004.,READ_AGENT,READ_AGENT,True,get_ticket,get_ticket,True,1,1,False,,TKT-004,TKT-004,True,,False,,READY,READY,True,,,,TKT-004,True,,,,1,0,Ticket TKT-004 is Resolved. Priority: Low. Owner: Michael Ade. Summary: Customer requested an account email update.,True
GOLD-005,ticket_lookup,Check support ticket TKT-005.,READ_AGENT,READ_AGENT,True,get_ticket,get_ticket,True,1,1,False,,TKT-005,TKT-005,True,,False,,READY,READY,True,,,,Amina Bello,True,,,,1,0,Ticket TKT-005 is In Progress. Priority: High. Owner: Amina Bello. Summary: API integration returns authentication errors.,True
GOLD-006,ticket_lookup,What priority is TKT-006?,READ_AGENT,READ_AGENT,True,get_ticket,get_ticket,True,1,1,False,,TKT-006,TKT-006,True,,False,,READY,READY,True,,,,TKT-006,True,,,,1,0,Ticket TKT-006 is Open. Priority: Medium. Owner: David Cole. Summary: Payment appears twice on the customer's statement.,True
GOLD-007,ticket_lookup,Look up TKT-007.,READ_AGENT,READ_AGENT,True,get_ticket,get_ticket,True,1,1,False,,TKT-007,TKT-007,True,,False,,READY,READY,True,,,,TKT-007,True,,,,1,0,Ticket TKT-007 is Resolved. Priority: High. Owner: Sarah James. Summary: Administrator was locked out of the portal.,True
GOLD-008,ticket_lookup,Tell me the owner and status of TKT-008.,READ_AGENT,READ_AGENT,True,get_ticket,get_ticket,True,1,1,False,,TKT-008,TKT-008,True,,False,,READY,READY,True,,,,TKT-008,True,,,,1,0,Ticket TKT-008 is Open. Priority: Low. Owner: Michael Ade. Summary: Customer requested bulk export capability.,True
GOLD-009,ticket_lookup,Check TKT-009 for me.,READ_AGENT,READ_AGENT,True,get_ticket,get_ticket,True,1,1,False,,TKT-009,TKT-009,True,,False,,READY,READY,True,,,,TKT-009,True,,,,1,0,Ticket TKT-009 is In Progress. Priority: Critical. Owner: Amina Bello. Summary: Customer data synchronization has stopped.,True
GOLD-010,ticket_lookup,What is happening with TKT-010?,READ_AGENT,READ_AGENT,True,get_ticket,get_ticket,True,1,1,False,,TKT-010,TKT-010,True,,False,,READY,READY,True,,,,TKT-010,True,,,,1,0,Ticket TKT-010 is Open. Priority: High. Owner: Sarah James. Summary: Suspicious login activity was reported.,True
GOLD-011,expense_claim_lookup,Check expense claim EXP-001.,READ_AGENT,READ_AGENT,True,get_expense_claim,get_expense_claim,True,1,1,False,,EXP-001,EXP-001,True,,False,,READY,READY,True,,,,EXP-001,True,,,,1,0,Expense claim EXP-001 was submitted by Ada Martin. Amount: 18500. Status: Approved.,True
GOLD-012,expense_claim_lookup,What is the status of EXP-002?,READ_AGENT,READ_AGENT,True,get_expense_claim,get_expense_claim,True,1,1,False,,EXP-002,EXP-002,True,,False,,READY,READY,True,,,,John Bello,True,,,,1,0,Expense claim EXP-002 was submitted by John Bello. Amount: 7200. Status: Approved.,True
GOLD-013,expense_claim_lookup,Who submitted EXP-003?,READ_AGENT,READ_AGENT,True,get_expense_claim,get_expense_claim,True,1,1,False,,EXP-003,EXP-003,True,,False,,READY,READY,True,,,,EXP-003,True,,,,1,0,Expense claim EXP-003 was submitted by Mary Cole. Amount: 45000. Status: Pending.,True
