id,category,question,expected_abstained,actual_abstained,abstention_correct,answer,source,chunk,focused_evidence,top_evidence_score,chunk_similarity,sentence_similarity,adjusted_evidence_score,retrieval_mode,conflict
S4-001,answerable,How many annual leave days do full-time employees receive?,False,False,True,25,annual_leave_policy.txt,annual_leave_policy_medium_001,Annual Leave Entitlement Full-time employees receive 25 days of paid annual leave during each calendar year.,1.0006859040260314,0.6447510123252869,0.8406859040260315,1.0006859040260314,standard,
S4-002,answerable,What does the company policy say about remote work?,False,False,True,Remote-working arrangements may be reviewed periodically.,remote_work_policy_v2.txt,remote_work_policy_v2_medium_003,Managers may periodically review remote-working arrangements.,0.6319729685783386,0.7479990720748901,0.6319729685783386,0.6319729685783386,standard,Current and Superseded documents were both retrieved.
S4-003,answerable,What is the company refund policy?,False,False,True,separate Customer Refund Policy,product_returns_policy.txt,product_returns_policy_medium_001,Refund eligibility is governed by the separate Customer Refund Policy.,0.7545100450515747,0.5868164896965027,0.7545100450515747,0.7545100450515747,standard,
S4-004,answerable,What are the rules for employee travel expenses?,False,False,True,under the Employee Expense Policy,business_travel_policy.txt,business_travel_policy_medium_001,Travel costs must later be submitted under the Employee Expense Policy.,0.7798154354095459,0.6228203773498535,0.7798154354095459,0.7798154354095459,standard,
S4-005,answerable,Tell me the company's escalation policy.,False,False,True,the company's escalation policy.,support_escalation_process.txt,support_escalation_process_medium_001,Escalation does not change the original support priority unless the impact assessment also changes.,0.5253217220306396,0.6153968572616577,0.5253217220306396,0.5253217220306396,standard,
S4-006,answerable,What does our policy say about sick leave?,False,False,True,Human Resources may require appropriate medical evidence before annual leave is converted to sick leave,annual_leave_policy.txt,annual_leave_policy_medium_002,Human Resources may require appropriate medical evidence before annual leave is converted to sick leave.,0.6951743960380554,0.5373421907424927,0.6951743960380554,0.6951743960380554,standard,
S4-007,answerable,What is the process for requesting annual leave?,False,False,True,submitted through the approved company leave system,annual_leave_policy.txt,annual_leave_policy_medium_001,Requests must be submitted through the approved company leave system.,0.7098533511161804,0.6565483808517456,0.7098533511161804,0.7098533511161804,standard,
S4-008,answerable,"According to company policy, how should customer refunds be handled?",False,False,True,Refund eligibility remains governed by this Customer Refund Policy.,customer_refund_policy.txt,customer_refund_policy_medium_001,Refund eligibility remains governed by this Customer Refund Policy.,0.6391589045524597,0.6525241136550903,0.6391589045524597,0.6391589045524597,standard,
S4-009,unsupported,What is the company policy for employees bringing pets to work?,True,False,False,Employees should attend the office when reasonably requested for these purposes.,remote_work_policy_v2.txt,remote_work_policy_v2_medium_002,Employees should attend the office when reasonably requested for these purposes.,0.4825080335140228,0.476370632648468,0.4825080335140228,0.4825080335140228,standard,Current and Superseded documents were both retrieved.
S4-010,unsupported,What colour should employees paint their home office?,True,True,True,I do not have enough evidence in the available company documents to answer this question.,,,,,,,,standard,
S4-011,unsupported,Does the company provide free gym memberships?,True,True,True,I do not have enough evidence in the available company documents to answer this question.,,,,,,,,standard,
S4-012,unsupported,Can employees bring bicycles into the office?,True,False,False,No,remote_work_policy_v2.txt,remote_work_policy_v2_medium_002,Employees should attend the office when reasonably requested for these purposes.,0.5572834014892578,0.39699113368988037,0.5572834014892578,0.5572834014892578,standard,
S4-013,unsupported,What is the dress code for company parties?,True,True,True,I do not have enough evidence in the available company documents to answer this question.,,,,,,,,standard,
S4-014,unsupported,Does the company reimburse employees for childcare expenses?,True,False,False,No,employee_expense_policy.txt,employee_expense_policy_medium_001,"The company reimburses reasonable and approved business expenses including travel, accommodation and customer meeting costs.",0.5641816854476929,0.5232177972793579,0.5641816854476929,0.5641816854476929,standard,
S4-015,unsupported,What is the company policy on employee parking spaces?,True,False,False,Employees should attend the office when reasonably requested for these purposes.,remote_work_policy_v2.txt,remote_work_policy_v2_medium_002,Employees should attend the office when reasonably requested for these purposes.,0.46360117197036743,0.4181482195854187,0.46360117197036743,0.46360117197036743,standard,Current and Superseded documents were both retrieved.
S4-016,unsupported,Does the company give employees free lunch every Friday?,True,True,True,I do not have enough evidence in the available company documents to answer this question.,,,,,,,,standard,
