request_id,category,user_request,expected_tool,expected_argument
S3-001,knowledge,How many annual leave days do full-time employees receive?,search_company_knowledge,How many annual leave days do full-time employees receive?
S3-002,knowledge,What does the company policy say about remote work?,search_company_knowledge,What does the company policy say about remote work?
S3-003,knowledge,What is the company refund policy?,search_company_knowledge,What is the company refund policy?
S3-004,knowledge,What are the rules for employee travel expenses?,search_company_knowledge,What are the rules for employee travel expenses?
S3-005,knowledge,Tell me the company's escalation policy.,search_company_knowledge,Tell me the company's escalation policy.
S3-006,knowledge,What does our policy say about sick leave?,search_company_knowledge,What does our policy say about sick leave?
S3-007,knowledge,What is the process for requesting annual leave?,search_company_knowledge,What is the process for requesting annual leave?
S3-008,knowledge,"According to company policy, how should customer refunds be handled?",search_company_knowledge,"According to company policy, how should customer refunds be handled?"
S3-009,ticket,What is happening with ticket TKT-005?,get_ticket,TKT-005
S3-010,ticket,Who owns ticket 10?,get_ticket,TKT-010
S3-011,ticket,Check support case #3.,get_ticket,TKT-003
S3-012,ticket,Show me ticket number 12.,get_ticket,TKT-012
S3-013,ticket,What is the status of TKT-017?,get_ticket,TKT-017
S3-014,ticket,Find ticket 20 and tell me who owns it.,get_ticket,TKT-020
S3-015,calculation,Add 32000 hotel and 8500 transport.,calculate_expense,"32000,8500"
S3-016,calculation,"Calculate the total of 18500, 7200 and 45000.",calculate_expense,"18500,7200,45000"
S3-017,calculation,What is 12000 hotel plus 3500 taxi?,calculate_expense,"12000,3500"
S3-018,calculation,"Please total these expenses: 5000, 9000 and 2500.",calculate_expense,"5000,9000,2500"
S3-019,calculation,Add the expense amounts 15000 and 4200.,calculate_expense,"15000,4200"
S3-020,expense_claim,What happened to expense claim EXP-010?,get_expense_claim,EXP-010
S3-021,expense_claim,Check claim number 4 for me.,get_expense_claim,EXP-004
S3-022,expense_claim,What is the status of EXP-014?,get_expense_claim,EXP-014
S3-023,expense_claim,Who submitted expense claim 7?,get_expense_claim,EXP-007
S3-024,expense_claim,Show me the details for claim EXP-002.,get_expense_claim,EXP-002
S3-025,no_tool,"Hello, how are you?",NO_TOOL,
S3-026,no_tool,Write a poem about customer service.,NO_TOOL,
S3-027,no_tool,What is the capital of France?,NO_TOOL,
S3-028,no_tool,Send an email to the finance manager.,NO_TOOL,
S3-029,no_tool,Delete ticket TKT-005.,NO_TOOL,
S3-030,no_tool,Approve my expense claim.,NO_TOOL,
