request_id,category,user_request,expected_tool,expected_argument,raw_router_output,actual_tool,raw_argument,actual_argument,tool_result,tool_error,final_answer,tool_selection_correct,argument_correct,unnecessary_tool_call,task_completed
S3-001,knowledge,How many annual leave days do full-time employees receive?,search_company_knowledge,How many annual leave days do full-time employees receive?,SELECTED=COMPANY POLICY LOOKUP | COMPANY POLICY LOOKUP=-0.0049 | EXPENSE ARITHMETIC=-0.6097 | EXPENSE CLAIM RECORD LOOKUP=-0.7989 | NO AVAILABLE TOOL=-0.8155 | SUPPORT TICKET LOOKUP=-1.2708,search_company_knowledge,How many annual leave days do full-time employees receive?,How many annual leave days do full-time employees receive?,"{""question"": ""How many annual leave days do full-time employees receive?"", ""answer"": ""25"", ""sources"": [""annual_leave_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,25,1,1,0,1
S3-002,knowledge,What does the company policy say about remote work?,search_company_knowledge,What does the company policy say about remote work?,SELECTED=COMPANY POLICY LOOKUP | COMPANY POLICY LOOKUP=-0.0015 | EXPENSE CLAIM RECORD LOOKUP=-0.9149 | EXPENSE ARITHMETIC=-1.0531 | NO AVAILABLE TOOL=-1.2959 | SUPPORT TICKET LOOKUP=-1.3916,search_company_knowledge,What does the company policy say about remote work?,What does the company policy say about remote work?,"{""question"": ""What does the company policy say about remote work?"", ""answer"": ""Remote-working arrangements may be reviewed periodically."", ""sources"": [""remote_work_policy_v2.txt""], ""retrieval_mode"": ""standard"", ""conflict"": ""Current and Superseded documents were both retrieved.""}",,Remote-working arrangements may be reviewed periodically.,1,1,0,1
S3-003,knowledge,What is the company refund policy?,search_company_knowledge,What is the company refund policy?,SELECTED=COMPANY POLICY LOOKUP | COMPANY POLICY LOOKUP=-0.0041 | EXPENSE CLAIM RECORD LOOKUP=-0.7882 | EXPENSE ARITHMETIC=-0.9538 | NO AVAILABLE TOOL=-1.2001 | SUPPORT TICKET LOOKUP=-1.2604,search_company_knowledge,What is the company refund policy?,What is the company refund policy?,"{""question"": ""What is the company refund policy?"", ""answer"": ""separate Customer Refund Policy"", ""sources"": [""product_returns_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,separate Customer Refund Policy,1,1,0,1
S3-004,knowledge,What are the rules for employee travel expenses?,search_company_knowledge,What are the rules for employee travel expenses?,SELECTED=COMPANY POLICY LOOKUP | COMPANY POLICY LOOKUP=-0.0039 | EXPENSE CLAIM RECORD LOOKUP=-0.5280 | EXPENSE ARITHMETIC=-0.6826 | NO AVAILABLE TOOL=-0.9279 | SUPPORT TICKET LOOKUP=-1.2804,search_company_knowledge,What are the rules for employee travel expenses?,What are the rules for employee travel expenses?,"{""question"": ""What are the rules for employee travel expenses?"", ""answer"": ""under the Employee Expense Policy"", ""sources"": [""business_travel_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,under the Employee Expense Policy,1,1,0,1
S3-005,knowledge,Tell me the company's escalation policy.,search_company_knowledge,Tell me the company's escalation policy.,SELECTED=COMPANY POLICY LOOKUP | COMPANY POLICY LOOKUP=-0.0032 | EXPENSE CLAIM RECORD LOOKUP=-0.6262 | EXPENSE ARITHMETIC=-0.7407 | NO AVAILABLE TOOL=-0.7906 | SUPPORT TICKET LOOKUP=-1.2104,search_company_knowledge,Tell me the company's escalation policy.,Tell me the company's escalation policy.,"{""question"": ""Tell me the company's escalation policy."", ""answer"": ""the company's escalation policy."", ""sources"": [""support_escalation_process.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,the company's escalation policy.,1,1,0,1
S3-006,knowledge,What does our policy say about sick leave?,search_company_knowledge,What does our policy say about sick leave?,SELECTED=COMPANY POLICY LOOKUP | COMPANY POLICY LOOKUP=-0.0016 | EXPENSE CLAIM RECORD LOOKUP=-0.7759 | EXPENSE ARITHMETIC=-0.9485 | NO AVAILABLE TOOL=-1.0745 | SUPPORT TICKET LOOKUP=-1.2932,search_company_knowledge,What does our policy say about sick leave?,What does our policy say about sick leave?,"{""question"": ""What does our policy say about sick leave?"", ""answer"": ""Human Resources may require appropriate medical evidence before annual leave is converted to sick leave"", ""sources"": [""annual_leave_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,Human Resources may require appropriate medical evidence before annual leave is converted to sick leave,1,1,0,1
S3-007,knowledge,What is the process for requesting annual leave?,search_company_knowledge,What is the process for requesting annual leave?,SELECTED=COMPANY POLICY LOOKUP | COMPANY POLICY LOOKUP=-0.0033 | EXPENSE CLAIM RECORD LOOKUP=-0.6784 | EXPENSE ARITHMETIC=-0.8858 | SUPPORT TICKET LOOKUP=-1.2207 | NO AVAILABLE TOOL=-1.2227,search_company_knowledge,What is the process for requesting annual leave?,What is the process for requesting annual leave?,"{""question"": ""What is the process for requesting annual leave?"", ""answer"": ""submitted through the approved company leave system"", ""sources"": [""annual_leave_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,submitted through the approved company leave system,1,1,0,1
S3-008,knowledge,"According to company policy, how should customer refunds be handled?",search_company_knowledge,"According to company policy, how should customer refunds be handled?",SELECTED=COMPANY POLICY LOOKUP | COMPANY POLICY LOOKUP=-0.0043 | EXPENSE CLAIM RECORD LOOKUP=-0.4743 | EXPENSE ARITHMETIC=-0.4885 | NO AVAILABLE TOOL=-0.9155 | SUPPORT TICKET LOOKUP=-1.0687,search_company_knowledge,"According to company policy, how should customer refunds be handled?","According to company policy, how should customer refunds be handled?","{""question"": ""According to company policy, how should customer refunds be handled?"", ""answer"": ""Refund eligibility remains governed by this Customer Refund Policy."", ""sources"": [""customer_refund_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,Refund eligibility remains governed by this Customer Refund Policy.,1,1,0,1
S3-009,ticket,What is happening with ticket TKT-005?,get_ticket,TKT-005,SELECTED=COMPANY POLICY LOOKUP | COMPANY POLICY LOOKUP=-0.1551 | SUPPORT TICKET LOOKUP=-0.1987 | EXPENSE CLAIM RECORD LOOKUP=-0.2317 | EXPENSE ARITHMETIC=-0.2629 | NO AVAILABLE TOOL=-0.4449,search_company_knowledge,What is happening with ticket TKT-005?,What is happening with ticket TKT-005?,"{""question"": ""What is happening with ticket TKT-005?"", ""answer"": ""I do not have enough evidence in the available company documents to answer this question."", ""sources"": [], ""retrieval_mode"": ""standard"", ""conflict"": null}",,I do not have enough evidence in the available company documents to answer this question.,0,0,0,0
S3-010,ticket,Who owns ticket 10?,get_ticket,TKT-010,SELECTED=COMPANY POLICY LOOKUP | COMPANY POLICY LOOKUP=-0.1785 | SUPPORT TICKET LOOKUP=-0.2505 | EXPENSE CLAIM RECORD LOOKUP=-0.3255 | EXPENSE ARITHMETIC=-0.5139 | NO AVAILABLE TOOL=-0.5386,search_company_knowledge,Who owns ticket 10?,Who owns ticket 10?,"{""question"": ""Who owns ticket 10?"", ""answer"": ""I do not have enough evidence in the available company documents to answer this question."", ""sources"": [], ""retrieval_mode"": ""standard"", ""conflict"": null}",,I do not have enough evidence in the available company documents to answer this question.,0,0,0,0
