request_id,category,user_request,expected_tools,dependency,expected_first_argument,notes
S5-001,ticket_knowledge_independent,Check ticket TKT-005 and tell me what the company escalation policy says.,get_ticket|search_company_knowledge,independent,TKT-005,Ticket lookup and escalation-policy lookup can be performed independently.
S5-002,ticket_knowledge_dependent,Check TKT-003 and tell me what response target applies to its priority.,get_ticket|search_company_knowledge,dependent,TKT-003,Ticket must be read first. Its priority is then used to search company knowledge.
S5-003,ticket_knowledge_independent,Who owns TKT-017 and what does the company escalation process say?,get_ticket|search_company_knowledge,independent,TKT-017,Return ticket owner plus relevant company escalation information.
S5-004,claim_knowledge,Check expense claim EXP-010 and tell me what the company policy says about employee travel expenses.,get_expense_claim|search_company_knowledge,independent,EXP-010,Expense-claim lookup plus company travel-expense policy.
S5-005,claim_knowledge,What is the status of EXP-004 and what does the Employee Expense Policy say?,get_expense_claim|search_company_knowledge,independent,EXP-004,Claim record and policy information must both appear in the response.
S5-006,calculation_knowledge,"Add 32000 hotel and 8500 transport, then tell me what our travel-expense policy says.",calculate_expense|search_company_knowledge,independent,32000|8500,"Arithmetic must be performed by Python, while policy information comes from RAG."
S5-007,calculation_knowledge,Calculate 18500 plus 7200 plus 45000 and tell me what the company says about employee expenses.,calculate_expense|search_company_knowledge,independent,18500|7200|45000,Tests deterministic arithmetic plus company-knowledge retrieval.
S5-008,ticket_claim,Check TKT-010 and EXP-010. Tell me the ticket status and the expense-claim status.,get_ticket|get_expense_claim,independent,TKT-010,Requires two different structured-record tools.
S5-009,ticket_claim,Who owns TKT-020 and who submitted EXP-002?,get_ticket|get_expense_claim,independent,TKT-020,Two record lookups; answer must combine owner and employee information.
S5-010,claim_calculation_dependent,Get the amount on EXP-010 and add 7200 to it.,get_expense_claim|calculate_expense,dependent,EXP-010,The calculator cannot receive its complete arguments until EXP-010 has been retrieved.
S5-011,three_tool,"Check TKT-005, add 32000 and 8500, and tell me what our escalation policy says.",get_ticket|calculate_expense|search_company_knowledge,independent,TKT-005,Tests whether three required capabilities can be used for one user request.
S5-012,claim_knowledge_multi_part,"Who submitted EXP-007, and how many annual leave days do full-time employees receive?",get_expense_claim|search_company_knowledge,independent,EXP-007,Two unrelated questions in one user message. Both must be completed.
