request_id,category,user_request,expected_tool,expected_argument,raw_router_output,actual_tool,raw_argument,actual_argument,tool_result,tool_error,final_answer,tool_selection_correct,argument_correct,unnecessary_tool_call,task_completed
S3-001,knowledge,How many annual leave days do full-time employees receive?,search_company_knowledge,How many annual leave days do full-time employees receive?,leave,,,,,Unknown routing output.,The request could not be completed: Unknown routing output.,0,0,0,0
S3-002,knowledge,What does the company policy say about remote work?,search_company_knowledge,What does the company policy say about remote work?,KNOWLEDGE,search_company_knowledge,What does the company policy say about remote work?,What does the company policy say about remote work?,"{""question"": ""What does the company policy say about remote work?"", ""answer"": ""Remote-working arrangements may be reviewed periodically."", ""sources"": [""remote_work_policy_v2.txt""], ""retrieval_mode"": ""standard"", ""conflict"": ""Current and Superseded documents were both retrieved.""}",,Remote-working arrangements may be reviewed periodically.,1,1,0,1
S3-003,knowledge,What is the company refund policy?,search_company_knowledge,What is the company refund policy?,KNOWLEDGE,search_company_knowledge,What is the company refund policy?,What is the company refund policy?,"{""question"": ""What is the company refund policy?"", ""answer"": ""separate Customer Refund Policy"", ""sources"": [""product_returns_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,separate Customer Refund Policy,1,1,0,1
S3-004,knowledge,What are the rules for employee travel expenses?,search_company_knowledge,What are the rules for employee travel expenses?,ONE,,,,,Unknown routing output.,The request could not be completed: Unknown routing output.,0,0,0,0
S3-005,knowledge,Tell me the company's escalation policy.,search_company_knowledge,Tell me the company's escalation policy.,KNOWLEDGE,search_company_knowledge,Tell me the company's escalation policy.,Tell me the company's escalation policy.,"{""question"": ""Tell me the company's escalation policy."", ""answer"": ""the company's escalation policy."", ""sources"": [""support_escalation_process.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,the company's escalation policy.,1,1,0,1
S3-006,knowledge,What does our policy say about sick leave?,search_company_knowledge,What does our policy say about sick leave?,KNOWLEDGE,search_company_knowledge,What does our policy say about sick leave?,What does our policy say about sick leave?,"{""question"": ""What does our policy say about sick leave?"", ""answer"": ""Human Resources may require appropriate medical evidence before annual leave is converted to sick leave"", ""sources"": [""annual_leave_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,Human Resources may require appropriate medical evidence before annual leave is converted to sick leave,1,1,0,1
S3-007,knowledge,What is the process for requesting annual leave?,search_company_knowledge,What is the process for requesting annual leave?,KNOWLEDGE,search_company_knowledge,What is the process for requesting annual leave?,What is the process for requesting annual leave?,"{""question"": ""What is the process for requesting annual leave?"", ""answer"": ""submitted through the approved company leave system"", ""sources"": [""annual_leave_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,submitted through the approved company leave system,1,1,0,1
S3-008,knowledge,"According to company policy, how should customer refunds be handled?",search_company_knowledge,"According to company policy, how should customer refunds be handled?",RETURNS,,,,,Unknown routing output.,The request could not be completed: Unknown routing output.,0,0,0,0
S3-009,ticket,What is happening with ticket TKT-005?,get_ticket,TKT-005,TICKET,get_ticket,TKT-005,TKT-005,"{""ticket_id"": ""TKT-005"", ""customer"": ""Silverline Health"", ""category"": ""Technical"", ""priority"": ""High"", ""status"": ""In Progress"", ""owner"": ""Amina Bello"", ""summary"": ""API integration returns authentication errors.""}",,TKT-005 is In Progress. Priority: High. Owner: Amina Bello. Summary: API integration returns authentication errors.,1,1,0,1
S3-010,ticket,Who owns ticket 10?,get_ticket,TKT-010,TICKET,get_ticket,10,TKT-010,"{""ticket_id"": ""TKT-010"", ""customer"": ""BrightPath Finance"", ""category"": ""Security"", ""priority"": ""High"", ""status"": ""Open"", ""owner"": ""Sarah James"", ""summary"": ""Suspicious login activity was reported.""}",,TKT-010 is Open. Priority: High. Owner: Sarah James. Summary: Suspicious login activity was reported.,1,1,0,1
