request_id,category,user_request,expected_tool,expected_argument,raw_router_output,actual_tool,raw_argument,actual_argument,tool_result,tool_error,final_answer,tool_selection_correct,argument_correct,unnecessary_tool_call,task_completed
S3-001,knowledge,How many annual leave days do full-time employees receive?,search_company_knowledge,How many annual leave days do full-time employees receive?,SELECTED=KNOWLEDGE | KNOWLEDGE=-0.2077 | EXPENSE_CLAIM=-0.7258 | CALCULATE=-1.4477 | NO_TOOL=-2.0344 | TICKET=-2.8506,search_company_knowledge,How many annual leave days do full-time employees receive?,How many annual leave days do full-time employees receive?,"{""question"": ""How many annual leave days do full-time employees receive?"", ""answer"": ""25"", ""sources"": [""annual_leave_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,25,1,1,0,1
S3-002,knowledge,What does the company policy say about remote work?,search_company_knowledge,What does the company policy say about remote work?,SELECTED=KNOWLEDGE | KNOWLEDGE=-0.0251 | EXPENSE_CLAIM=-0.8269 | CALCULATE=-1.6325 | NO_TOOL=-1.9652 | TICKET=-4.7531,search_company_knowledge,What does the company policy say about remote work?,What does the company policy say about remote work?,"{""question"": ""What does the company policy say about remote work?"", ""answer"": ""Remote-working arrangements may be reviewed periodically."", ""sources"": [""remote_work_policy_v2.txt""], ""retrieval_mode"": ""standard"", ""conflict"": ""Current and Superseded documents were both retrieved.""}",,Remote-working arrangements may be reviewed periodically.,1,1,0,1
S3-003,knowledge,What is the company refund policy?,search_company_knowledge,What is the company refund policy?,SELECTED=KNOWLEDGE | KNOWLEDGE=-0.0352 | EXPENSE_CLAIM=-0.7762 | CALCULATE=-1.6999 | NO_TOOL=-1.8714 | TICKET=-4.2344,search_company_knowledge,What is the company refund policy?,What is the company refund policy?,"{""question"": ""What is the company refund policy?"", ""answer"": ""separate Customer Refund Policy"", ""sources"": [""product_returns_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,separate Customer Refund Policy,1,1,0,1
S3-004,knowledge,What are the rules for employee travel expenses?,search_company_knowledge,What are the rules for employee travel expenses?,SELECTED=KNOWLEDGE | KNOWLEDGE=-0.0281 | EXPENSE_CLAIM=-0.6469 | CALCULATE=-1.2450 | NO_TOOL=-1.7349 | TICKET=-3.3875,search_company_knowledge,What are the rules for employee travel expenses?,What are the rules for employee travel expenses?,"{""question"": ""What are the rules for employee travel expenses?"", ""answer"": ""under the Employee Expense Policy"", ""sources"": [""business_travel_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,under the Employee Expense Policy,1,1,0,1
S3-005,knowledge,Tell me the company's escalation policy.,search_company_knowledge,Tell me the company's escalation policy.,SELECTED=KNOWLEDGE | KNOWLEDGE=-0.0267 | EXPENSE_CLAIM=-0.6403 | CALCULATE=-1.4326 | NO_TOOL=-1.7584 | TICKET=-2.6499,search_company_knowledge,Tell me the company's escalation policy.,Tell me the company's escalation policy.,"{""question"": ""Tell me the company's escalation policy."", ""answer"": ""the company's escalation policy."", ""sources"": [""support_escalation_process.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,the company's escalation policy.,1,1,0,1
S3-006,knowledge,What does our policy say about sick leave?,search_company_knowledge,What does our policy say about sick leave?,SELECTED=KNOWLEDGE | KNOWLEDGE=-0.0183 | EXPENSE_CLAIM=-0.8518 | CALCULATE=-1.8196 | NO_TOOL=-2.0305 | TICKET=-4.4233,search_company_knowledge,What does our policy say about sick leave?,What does our policy say about sick leave?,"{""question"": ""What does our policy say about sick leave?"", ""answer"": ""Human Resources may require appropriate medical evidence before annual leave is converted to sick leave"", ""sources"": [""annual_leave_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,Human Resources may require appropriate medical evidence before annual leave is converted to sick leave,1,1,0,1
S3-007,knowledge,What is the process for requesting annual leave?,search_company_knowledge,What is the process for requesting annual leave?,SELECTED=KNOWLEDGE | KNOWLEDGE=-0.0373 | EXPENSE_CLAIM=-0.6099 | NO_TOOL=-1.6956 | CALCULATE=-1.7004 | TICKET=-2.9257,search_company_knowledge,What is the process for requesting annual leave?,What is the process for requesting annual leave?,"{""question"": ""What is the process for requesting annual leave?"", ""answer"": ""submitted through the approved company leave system"", ""sources"": [""annual_leave_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,submitted through the approved company leave system,1,1,0,1
S3-008,knowledge,"According to company policy, how should customer refunds be handled?",search_company_knowledge,"According to company policy, how should customer refunds be handled?",SELECTED=KNOWLEDGE | KNOWLEDGE=-0.0582 | EXPENSE_CLAIM=-0.7215 | CALCULATE=-1.7069 | NO_TOOL=-1.9072 | TICKET=-4.1573,search_company_knowledge,"According to company policy, how should customer refunds be handled?","According to company policy, how should customer refunds be handled?","{""question"": ""According to company policy, how should customer refunds be handled?"", ""answer"": ""Refund eligibility remains governed by this Customer Refund Policy."", ""sources"": [""customer_refund_policy.txt""], ""retrieval_mode"": ""standard"", ""conflict"": null}",,Refund eligibility remains governed by this Customer Refund Policy.,1,1,0,1
S3-009,ticket,What is happening with ticket TKT-005?,get_ticket,TKT-005,SELECTED=TICKET | TICKET=-0.0966 | EXPENSE_CLAIM=-0.2842 | KNOWLEDGE=-0.3421 | NO_TOOL=-1.1793 | CALCULATE=-1.5150,get_ticket,TKT-005,TKT-005,"{""ticket_id"": ""TKT-005"", ""customer"": ""Silverline Health"", ""category"": ""Technical"", ""priority"": ""High"", ""status"": ""In Progress"", ""owner"": ""Amina Bello"", ""summary"": ""API integration returns authentication errors.""}",,TKT-005 is In Progress. Priority: High. Owner: Amina Bello. Summary: API integration returns authentication errors.,1,1,0,1
S3-010,ticket,Who owns ticket 10?,get_ticket,TKT-010,SELECTED=TICKET | TICKET=-0.0334 | EXPENSE_CLAIM=-0.3603 | KNOWLEDGE=-0.5904 | NO_TOOL=-1.5838 | CALCULATE=-1.7704,get_ticket,10,TKT-010,"{""ticket_id"": ""TKT-010"", ""customer"": ""BrightPath Finance"", ""category"": ""Security"", ""priority"": ""High"", ""status"": ""Open"", ""owner"": ""Sarah James"", ""summary"": ""Suspicious login activity was reported.""}",,TKT-010 is Open. Priority: High. Owner: Sarah James. Summary: Suspicious login activity was reported.,1,1,0,1
